"nl","fr","aantal_keer","eerste_bestand","regel"
"-- kies --","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1079"
"-- Kies bronsite --","","1","components/shared/WashProgramManager/WashProgramManager.tsx","232"
"; importCounts: Record","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","518"
"(macOS) of gebruik de deelknop →","","1","components/layout/BottomNav/MeerSheet.tsx","109"
"(overschrijft)","","1","components/account/AccountForm/AccountForm.tsx","836"
"← Terug","","3","components/setup/SetupWizard/SetupWizard.tsx","214"
"← Vorige week","","1","components/planning/PlanningPanel/PlanningPanel.tsx","196"
"×","","2","components/ui/BottomSheet/BottomSheet.tsx","38"
"✓ Opgeslagen","","1","components/handleiding/HandleidingContent/HandleidingContent.tsx","371"
"🎂 Verjaardagen vandaag","","1","components/diversen/DiversenPanel/DiversenPanel.tsx","81"
"1-ABC-234","","1","components/incidenten/SchadeForm/SchadeForm.tsx","105"
"Aalst","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","840"
"Aangemeld als","","1","components/logboek/LogboekPanel/LogboekPanel.tsx","183"
"Aantal wagens","","1","components/forms/InstellingenForm/InstellingenForm.tsx","965"
"aantal wassen","","1","components/setup/SetupWizard/SetupWizard.tsx","225"
"Aantal wassingen per programma","","2","components/forms/HistoryList/HistoryList.tsx","260"
"Accountgegevens","","2","components/account/AccountForm/AccountForm.tsx","385"
"Actief — kan niet verwijderd worden","","1","components/account/AccountForm/AccountForm.tsx","515"
"Admin","","1","components/layout/Sidebar/Sidebar.tsx","94"
"Afdeling / locatie","","1","components/incidenten/EhboForm/EhboForm.tsx","78"
"Alec Meganck","","1","components/layout/Sidebar/Sidebar.tsx","93"
"Algemeen bericht (alle filialen)","","1","components/diversen/DiversenPanel/DiversenPanel.tsx","102"
"Algemeen nazicht installatie","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1026"
"Alle sites","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","136"
"Annuleren","","10","components/developer/DeveloperPanel/DeveloperPanel.tsx","329"
"App installeren","","1","components/layout/BottomNav/MeerSheet.tsx","103"
"Back-up per eigenaar","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1162"
"Back-up terug importeren","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1193"
"Bedrag (€)","","2","components/account/AccountForm/AccountForm.tsx","559"
"Bedrag factuur","","1","components/forms/InstellingenForm/InstellingenForm.tsx","898"
"Beginsaldo","","1","components/forms/HistoryList/HistoryList.tsx","432"
"Bekijk je volledige werklijst","","1","components/dashboard/CarwashPage/CarwashPage.tsx","947"
"Beoordeling","","1","components/dashboard/IncidentModal/IncidentModal.tsx","82"
"bepaald aantal maanden","","1","components/setup/SetupWizard/SetupWizard.tsx","225"
"Beschrijving","","1","components/dashboard/IncidentModal/IncidentModal.tsx","107"
"Beschrijving ongeval","","1","components/incidenten/EhboForm/EhboForm.tsx","98"
"Bestand → Voeg toe aan Dock","","1","components/layout/BottomNav/MeerSheet.tsx","109"
"Bestand controleren...","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","1202"
"Bevestigen?","","1","components/onderhouden/OnderhoudPanel/OnderhoudPanel.tsx","191"
"Bewerken","","3","components/developer/DeveloperPanel/DeveloperPanel.tsx","150"
"Bijna","","1","components/onderhouden/OnderhoudPanel/OnderhoudPanel.tsx","158"
"bijv. 120000","","3","components/forms/InstellingenForm/InstellingenForm.tsx","1079"
"bijv. 125400","","1","components/setup/SetupWizard/SetupWizard.tsx","183"
"bijv. 3","","2","components/forms/InstellingenForm/InstellingenForm.tsx","1104"
"bijv. 4500","","1","components/setup/SetupWizard/SetupWizard.tsx","209"
"bijv. 5000","","2","components/forms/InstellingenForm/InstellingenForm.tsx","1068"
"bijv. Borstels nakijken","","2","components/forms/InstellingenForm/InstellingenForm.tsx","1035"
"Binnenkort","","1","components/onderhouden/OnderhoudPanel/OnderhoudPanel.tsx","88"
"Blob","","1","components/forms/HistoryList/HistoryList.tsx","379"
"Bv. Start promotie morgen!","","1","components/diversen/DiversenPanel/DiversenPanel.tsx","105"
"Carwash","","2","components/developer/DeveloperPanel/DeveloperPanel.tsx","1004"
"Carwash toegang","","1","components/developer/DeveloperPanel/DeveloperPanel.tsx","949"
"Carwash toevoegen","","1","components/account/AccountForm/AccountForm.tsx","481"
